"Subject","Condition","VbType_Cond","ClozeScore","Group","quant05","quant50","quant95","nbIterations"
"NS_158.M_V","Baseline","M_V.Baseline",NA,"NS",0.00583037678829179,0.00583037678829179,0.00583037678829179,500
"NS_158.P_V","Baseline","P_V.Baseline",NA,"NS",-0.177653818798827,-0.177653818798827,-0.177653818798827,500
"NS_159.P_V","Path","P_V.Path",NA,"NS",-0.226130397587494,-0.226130397587494,-0.226130397587494,500
"NS_160.M_V","Baseline","M_V.Baseline",NA,"NS",0.00657322541857985,0.00657322541857985,0.00657322541857985,500
"NS_160.P_V","Baseline","P_V.Baseline",NA,"NS",-0.194676427655306,-0.194676427655306,-0.194676427655306,500
"NS_161.P_V","Path","P_V.Path",NA,"NS",-0.228752821296753,-0.228752821296753,-0.228752821296753,500
"NS_162.P_V","Path","P_V.Path",NA,"NS",-0.239234075200462,-0.239234075200462,-0.239234075200462,500
"NS_163.P_V","Path","P_V.Path",NA,"NS",-0.262118456331552,-0.262118456331552,-0.262118456331552,500
"NS_164.M_V","Manner","M_V.Manner",NA,"NS",-0.0874303748433194,-0.0874303748433194,-0.0874303748433194,500
"NS_165.M_V","Manner","M_V.Manner",NA,"NS",0.0114197699847572,0.0114197699847572,0.0114197699847572,500
"NS_166.P_V","Path","P_V.Path",NA,"NS",-0.341544322745393,-0.341544322745393,-0.341544322745393,500
"NS_167.M_V","Manner","M_V.Manner",NA,"NS",-0.0424651481052731,-0.0424651481052731,-0.0424651481052731,500
"NS_168.P_V","Path","P_V.Path",NA,"NS",-0.0727961823099474,-0.0727961823099474,-0.0727961823099474,500
"NS_169.P_V","Path","P_V.Path",NA,"NS",-0.120719274291534,-0.120719274291534,-0.120719274291534,500
"NS_170.M_V","Baseline","M_V.Baseline",NA,"NS",0.0050140926216386,0.0050140926216386,0.0050140926216386,500
"NS_170.P_V","Baseline","P_V.Baseline",NA,"NS",-0.206237275776739,-0.206237275776739,-0.206237275776739,500
"NS_171.P_V","Path","P_V.Path",NA,"NS",-0.185408575340782,-0.185408575340782,-0.185408575340782,500
"NS_172.M_V","Manner","M_V.Manner",NA,"NS",-0.0138300864127909,-0.0138300864127909,-0.0138300864127909,500
"NS_173.P_V","Path","P_V.Path",NA,"NS",-0.0192277982739143,-0.0192277982739143,-0.0192277982739143,500
"NS_174.P_V","Path","P_V.Path",NA,"NS",-0.12920501260773,-0.12920501260773,-0.12920501260773,500
"NS_175.M_V","Baseline","M_V.Baseline",NA,"NS",-0.00882640701132575,-0.00882640701132575,-0.00882640701132575,500
"NS_175.P_V","Baseline","P_V.Baseline",NA,"NS",-0.39899403469956,-0.39899403469956,-0.39899403469956,500
"NS_176.P_V","Path","P_V.Path",NA,"NS",-0.0688589238159386,-0.0688589238159386,-0.0688589238159386,500
"NS_177.M_V","Baseline","M_V.Baseline",NA,"NS",0.0104306165765204,0.0104306165765204,0.0104306165765204,500
"NS_177.P_V","Baseline","P_V.Baseline",NA,"NS",-0.221477555643586,-0.221477555643586,-0.221477555643586,500
"NS_178.M_V","Manner","M_V.Manner",NA,"NS",-0.0220273250754389,-0.0220273250754389,-0.0220273250754389,500
"NS_179.M_V","Manner","M_V.Manner",NA,"NS",-0.0402412325249666,-0.0402412325249666,-0.0402412325249666,500
"NS_180.P_V","Path","P_V.Path",NA,"NS",0.0853739796922095,0.0853739796922095,0.0853739796922095,500
"NS_181.P_V","Path","P_V.Path",NA,"NS",-0.15075782442106,-0.15075782442106,-0.15075782442106,500
"NS_182.M_V","Manner","M_V.Manner",NA,"NS",-0.0429804217676623,-0.0429804217676623,-0.0429804217676623,500
"NS_183.M_V","Manner","M_V.Manner",NA,"NS",-0.0113295545679111,-0.0113295545679111,-0.0113295545679111,500
"NS_184.P_V","Path","P_V.Path",NA,"NS",-0.141822150738794,-0.141822150738794,-0.141822150738794,500
"NS_185.M_V","Manner","M_V.Manner",NA,"NS",-0.0112065617243671,-0.0112065617243671,-0.0112065617243671,500
"NS_186.M_V","Baseline","M_V.Baseline",NA,"NS",0.00372844148405171,0.00372844148405171,0.00372844148405171,500
"NS_186.P_V","Baseline","P_V.Baseline",NA,"NS",-0.119983440275533,-0.119983440275533,-0.119983440275533,500
"NS_187.M_V","Baseline","M_V.Baseline",NA,"NS",0.0114668363979545,0.0114668363979545,0.0114668363979545,500
"NS_187.P_V","Baseline","P_V.Baseline",NA,"NS",-0.205936421003757,-0.205936421003757,-0.205936421003757,500
"NS_188.M_V","Baseline","M_V.Baseline",NA,"NS",-0.000497303227713575,-0.000497303227713575,-0.000497303227713575,500
"NS_188.P_V","Baseline","P_V.Baseline",NA,"NS",-0.148473867328841,-0.148473867328841,-0.148473867328841,500
"NS_189.M_V","Manner","M_V.Manner",NA,"NS",-0.0170931973863288,-0.0170931973863288,-0.0170931973863288,500
"NS_190.M_V","Baseline","M_V.Baseline",NA,"NS",0.0343866549866736,0.0343866549866736,0.0343866549866736,500
"NS_190.P_V","Baseline","P_V.Baseline",NA,"NS",0.0156151073522646,0.0156151073522646,0.0156151073522646,500
"NS_191.M_V","Manner","M_V.Manner",NA,"NS",-0.048926173595808,-0.048926173595808,-0.048926173595808,500
"NS_192.M_V","Manner","M_V.Manner",NA,"NS",0.00811864746800239,0.00811864746800239,0.00811864746800239,500
"NS_193.M_V","Baseline","M_V.Baseline",NA,"NS",0.00644129706555485,0.00644129706555485,0.00644129706555485,500
"NS_193.P_V","Baseline","P_V.Baseline",NA,"NS",-0.11759044376125,-0.11759044376125,-0.11759044376125,500
"NS_194.M_V","Manner","M_V.Manner",NA,"NS",-0.0687666921247605,-0.0687666921247605,-0.0687666921247605,500
"NS_195.P_V","Path","P_V.Path",NA,"NS",-0.278722438650594,-0.278722438650594,-0.278722438650594,500
"NS_196.M_V","Manner","M_V.Manner",NA,"NS",-0.0633806398146226,-0.0633806398146226,-0.0633806398146226,500
"NS_197.P_V","Path","P_V.Path",NA,"NS",-0.0688589066587162,-0.0688589066587162,-0.0688589066587162,500
"NS_198.M_V","Baseline","M_V.Baseline",NA,"NS",0.0037330267150304,0.0037330267150304,0.0037330267150304,500
"NS_198.P_V","Baseline","P_V.Baseline",NA,"NS",-0.0604662487743315,-0.0604662487743315,-0.0604662487743315,500
"NS_199.M_V","Manner","M_V.Manner",NA,"NS",-0.019228780427306,-0.019228780427306,-0.019228780427306,500
"NS_200.M_V","Manner","M_V.Manner",NA,"NS",-0.049164654717515,-0.049164654717515,-0.049164654717515,500
"NS_201.M_V","Baseline","M_V.Baseline",NA,"NS",0.0125541616898808,0.0125541616898808,0.0125541616898808,500
"NS_201.P_V","Baseline","P_V.Baseline",NA,"NS",-0.0701519594684571,-0.0701519594684571,-0.0701519594684571,500
