"Subject","Group","Condition","Trial","VideoName","P_V","M_V","ClozeScore","zClozeScore","cClozeScore","PathPrimeV","MannerPrimeV"
"5","L2","Manner",12,"pgt_panrue",0,1,30,0.681549830750872,5.50847457627119,"cruza","empuja"
"5","L2","Manner",13,"pre_pnemai",0,1,30,0.681549830750872,5.50847457627119,"entra en","rueda"
"5","L2","Manner",14,"pgt_panrou",0,1,30,0.681549830750872,5.50847457627119,"cruza","empuja"
"5","L2","Manner",15,"tgm_sactoi",1,0,30,0.681549830750872,5.50847457627119,"sube","arrastra"
"5","L2","Manner",16,"pgd_valcol",1,0,30,0.681549830750872,5.50847457627119,"baja","empuja"
"5","L2","Manner",17,"tge_chagro",1,0,30,0.681549830750872,5.50847457627119,"entra en","arrastra"
"5","L2","Manner",18,"prt_rourou",0,1,30,0.681549830750872,5.50847457627119,"cruza","rueda"
"5","L2","Manner",19,"tge_chamai",1,0,30,0.681549830750872,5.50847457627119,"entra en","arrastra"
"5","L2","Manner",20,"prm_boudun",0,1,30,0.681549830750872,5.50847457627119,"sube","rueda"
"5","L2","Manner",21,"trt_pourou",0,0,30,0.681549830750872,5.50847457627119,"cruza","tira de"
"5","L2","Manner",22,"pre_pnegro",1,1,30,0.681549830750872,5.50847457627119,"entra en","rueda"
"5","L2","Manner",23,"pgm_paqtoi",0,1,30,0.681549830750872,5.50847457627119,"sube","empuja"
"5","L2","Manner",24,"prd_balnei",0,1,30,0.681549830750872,5.50847457627119,"baja","rueda"
"5","L2","Manner",25,"tgm_sacdun",0,0,30,0.681549830750872,5.50847457627119,"sube","arrastra"
"5","L2","Manner",26,"pge_tabgro",0,1,30,0.681549830750872,5.50847457627119,"entra en","empuja"
"5","L2","Manner",27,"trd_brocol",1,0,30,0.681549830750872,5.50847457627119,"baja","tira de"
"5","L2","Manner",28,"pge_tabmai",1,1,30,0.681549830750872,5.50847457627119,"entra en","empuja"
"5","L2","Manner",29,"tgd_malcol",0,0,30,0.681549830750872,5.50847457627119,"baja","arrastra"
"5","L2","Manner",30,"prt_rourue",0,1,30,0.681549830750872,5.50847457627119,"cruza","rueda"
"5","L2","Manner",31,"pgm_paqdun",0,1,30,0.681549830750872,5.50847457627119,"sube","empuja"
"5","L2","Manner",32,"tgd_malnei",1,0,30,0.681549830750872,5.50847457627119,"baja","arrastra"
"6","L2","Path",1,"tre_cadmai",1,0,27,0.310367307541936,2.50847457627119,"entra en","tira de"
"6","L2","Path",2,"tgd_malnei",1,0,27,0.310367307541936,2.50847457627119,"baja","arrastra"
"6","L2","Path",3,"prm_boutoi",1,0,27,0.310367307541936,2.50847457627119,"sube","rueda"
"6","L2","Path",4,"trt_pourue",1,0,27,0.310367307541936,2.50847457627119,"cruza","tira de"
"6","L2","Path",5,"pge_tabgro",0,0,27,0.310367307541936,2.50847457627119,"entra en","empuja"
"6","L2","Path",6,"tgt_cherou",1,0,27,0.310367307541936,2.50847457627119,"cruza","arrastra"
"6","L2","Path",7,"trm_voitoi",1,0,27,0.310367307541936,2.50847457627119,"sube","tira de"
"6","L2","Path",8,"pgt_panrou",1,0,27,0.310367307541936,2.50847457627119,"cruza","empuja"
"6","L2","Path",9,"trm_voidun",1,0,27,0.310367307541936,2.50847457627119,"sube","tira de"
"6","L2","Path",10,"pge_tabmai",1,0,27,0.310367307541936,2.50847457627119,"entra en","empuja"
"6","L2","Path",11,"trd_bronei",1,0,27,0.310367307541936,2.50847457627119,"baja","tira de"
"6","L2","Path",12,"pgm_paqdun",1,0,27,0.310367307541936,2.50847457627119,"sube","empuja"
"6","L2","Path",13,"tre_cadgro",1,0,27,0.310367307541936,2.50847457627119,"entra en","tira de"
"6","L2","Path",14,"prt_rourou",1,0,27,0.310367307541936,2.50847457627119,"cruza","rueda"
