"Subject","Condition","Trial","Word1","Word2","Word3","CorrectChoice","Response","Accuracy"
9,"PathPrimeSentence",8,"una esfera","una sala","un baúl","3","3","1"
9,"PathPrimeSentence",9,"una plaza","un carrito de bebé","un aro","2","2","1"
9,"PathPrimeSentence",10,"un cerro","una carretera","una piedra","2","2","1"
9,"PathPrimeSentence",11,"una escuela","un palo","un caballo de juguete","3","3","1"
9,"PathPrimeSentence",12,"un granero","un repecho","un muñeco","1","1","1"
9,"PathPrimeSentence",13,"un cesto","una cómoda","una parcela","1","1","1"
9,"PathPrimeSentence",14,"una habitación","un paquete","un sillón","2","2","1"
9,"PathPrimeSentence",15,"un armario","un coche de juguete","un pasillo","2","2","1"
9,"PathPrimeSentence",16,"una escalinata","una manta","una cueva","3","3","1"
9,"PathPrimeSentence",17,"una papelera","un tejado","unas gradas","2","2","1"
9,"PathPrimeSentence",18,"un hula hoop","un local","un carrito de la compra","3","3","1"
9,"PathPrimeSentence",19,"una colina","un tronco","unos escalones","1","1","1"
9,"PathPrimeSentence",20,"una lámpara","un almacén","una rueda de carreta","3","3","1"
9,"PathPrimeSentence",21,"una loma","un trineo","una calle","3","3","1"
9,"PathPrimeSentence",22,"un cuarto","un tablón","una carretilla","3","3","1"
9,"PathPrimeSentence",23,"un puente","una duna","una estantería","2","2","1"
9,"PathPrimeSentence",24,"una silla","una botella","un aula","1","1","1"
9,"PathPrimeSentence",25,"una rueda","una vía","un carro","1","1","1"
9,"PathPrimeSentence",26,"un jardín","un cilindro","una colina nevada","3","3","1"
10,"MannerPrimeSentence",1,"un jardín","un cilindro","una colina nevada","3","3","1"
10,"MannerPrimeSentence",2,"un hula hoop","un local","un carrito de la compra","3","3","1"
10,"MannerPrimeSentence",3,"un cesto","una cómoda","una parcela","1","1","1"
10,"MannerPrimeSentence",4,"un collado","un patinete","una bala de paja","3","3","1"
10,"MannerPrimeSentence",5,"un granero","un repecho","un muñeco","1","1","1"
10,"MannerPrimeSentence",6,"una loma","un trineo","una calle","3","3","1"
10,"MannerPrimeSentence",7,"un saco","un vestíbulo","un colchón","1","1","1"
10,"MannerPrimeSentence",8,"una mesa","una escalera","un triciclo","1","1","1"
10,"MannerPrimeSentence",9,"una habitación","un paquete","un sillón","2","2","1"
10,"MannerPrimeSentence",10,"una rueda","una vía","un carro","1","1","1"
10,"MannerPrimeSentence",11,"una escalinata","una manta","una cueva","3","3","1"
10,"MannerPrimeSentence",12,"una plaza","un carrito de bebé","un aro","2","2","1"
10,"MannerPrimeSentence",13,"un barril","unos peldaños","un flotador","3","3","1"
10,"MannerPrimeSentence",14,"una esfera","una sala","un baúl","3","1","0"
10,"MannerPrimeSentence",15,"una colina","un tronco","unos escalones","1","2","0"
10,"MannerPrimeSentence",16,"un armario","un coche de juguete","un pasillo","2","2","1"
10,"MannerPrimeSentence",17,"un camino","un jardín","un barril","1","1","1"
10,"MannerPrimeSentence",18,"una papelera","un tejado","unas gradas","2","2","1"
10,"MannerPrimeSentence",19,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
10,"MannerPrimeSentence",20,"una escuela","un palo","un caballo de juguete","3","3","1"
10,"MannerPrimeSentence",21,"una silla","una botella","un aula","1","1","1"
